CASEID,ENQUIRYTYPEID,SUBJECTNAME,REASONNAME,TYPENAME,TITLE,OPENEDDATETIMESTRING,CASESTATUS,ADDRESS,ZIP,CLOSEDDATETIMESTRING,LastUpdateDate,EndDate,EndTime,StartDate,StartTime,LATITUDE,LONGITUDE
5005899,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,13/06/18 10:39,0,S IH 35 FR,78664,16/06/18 19:39,19/02/19 11:18,06/13/2018,10:39 AM,06/13/2018,10:39 AM,30.485231,-97.673743
5005910,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,13/06/18 11:42,0, , ,14/06/18 03:42,19/02/19 11:18,06/13/2018,11:42 AM,06/13/2018,11:42 AM,30.444187,-97.668736
5005916,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,13/06/18 12:59,0,MEADOWCREEK CIR,78664,16/06/18 04:59,19/02/19 11:18,06/13/2018,12:59 PM,06/13/2018,12:59 PM,30.505282,-97.665509
5005925,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,13/06/18 13:44,0,SHOTWELL LN,78664,14/06/18 01:44,19/02/19 11:18,06/13/2018,01:44 PM,06/13/2018,01:44 PM,30.527939,-97.662787
5005944,101000381,Animal Related,Animal Control,Animal Complaint - Public Health,Animal Complaint - Public Health,13/06/18 15:18,0, , ,18/06/18 13:18,19/02/19 11:18,06/13/2018,03:18 PM,06/13/2018,03:18 PM,30.448351,-97.634821
5005952,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,13/06/18 16:09,0,S A W GRIMES BLVD,78664,17/06/18 17:09,19/02/19 11:18,06/13/2018,04:09 PM,06/13/2018,04:09 PM,30.479612,-97.643541
5005954,101000006,Sidewalks,Complaints,Sidewalk Structural Complaint,Sidewalk Structural Complaint,13/06/18 16:21,0, , ,14/06/18 00:21,19/02/19 11:18,06/13/2018,04:21 PM,06/13/2018,04:21 PM,30.459927,-97.667161
5005961,101000048,Utilities Related,Sewer & Storm Drain,Sewer Issues,Sewer Issue ,13/06/18 16:50,0,CREEKMONT DR,78681,15/06/18 12:50,19/02/19 11:18,06/13/2018,04:50 PM,06/13/2018,04:50 PM,30.505703,-97.707265
5005974,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN XKW490 - Pct # 3,13/06/18 18:06,0,RACHEL LN,78664,15/06/18 19:06,19/02/19 11:18,06/13/2018,06:06 PM,06/13/2018,06:06 PM,30.49276,-97.651251
5006010,101001981,Property,Private Property,Exterior Nuisance - Self Service,Ext: Tall Grass,14/06/18 09:39,0,SH 45,78664,14/06/18 12:39,19/02/19 11:18,06/14/2018,09:39 AM,06/14/2018,09:39 AM,30.483643,-97.624263
5006028,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,14/06/18 11:29,0,CREEK BEND BLVD,78681,15/06/18 15:29,19/02/19 11:18,06/14/2018,11:29 AM,06/14/2018,11:29 AM,30.548036,-97.710268
5006037,101000173,Property,Private Property,Residential Conditions Complaint Tenant,Residential Conditions Complaint Tenant,14/06/18 11:57,0,BUCKLEY LN,78664,15/06/18 06:57,19/02/19 11:18,06/14/2018,11:57 AM,06/14/2018,11:57 AM,30.532246,-97.663241
5006067,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 104HDL - Pct # 5,14/06/18 15:08,0,MCNEIL RD,78681,15/06/18 11:08,19/02/19 11:18,06/14/2018,03:08 PM,06/14/2018,03:08 PM,30.493242,-97.692662
5006074,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 4AN128 - Pct # 5,14/06/18 15:56,0, , ,15/06/18 06:56,19/02/19 11:18,06/14/2018,03:56 PM,06/14/2018,03:56 PM,30.464813,-97.716407
5006082,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 484CPX - Pct #,14/06/18 16:28,0, , ,18/06/18 04:28,19/02/19 11:18,06/14/2018,04:28 PM,06/14/2018,04:28 PM,30.466595,-97.634701
5006085,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish,14/06/18 17:01,0,GLENN DR,78664,19/06/18 00:01,19/02/19 11:18,06/14/2018,05:01 PM,06/14/2018,05:01 PM,30.475154,-97.649901
5006097,101000381,Animal Related,Animal Control,Animal Complaint - Public Health,Animal Complaint - Public Health,15/06/18 07:55,0,E PALM VALLEY BLVD,78665,19/06/18 12:55,19/02/19 11:18,06/15/2018,07:55 AM,06/15/2018,07:55 AM,30.528195,-97.626923
5006104,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,30/07/18 09:45,0,SERVICE,78664,03/08/18 18:45,19/02/19 11:18,07/30/2018,09:45 AM,07/30/2018,09:45 AM,30.477849,-97.669284
5006139,101000040,Streets,Traffic Signal / Signs,Traffic Signal Trouble,Traffic Signal Trouble,21/08/18 10:05,0,AZIMUTH DR,78681,25/08/18 14:05,19/02/19 11:18,08/21/2018,10:05 AM,08/21/2018,10:05 AM,30.48847713,-97.72357591
5006157,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,12/08/18 10:01,0,RUSK RD,78665,13/08/18 03:01,19/02/19 11:18,08/12/2018,10:01 AM,08/12/2018,10:01 AM,30.50106127,-97.62986672
5006159,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,24/07/18 09:06,0, , ,26/07/18 10:06,19/02/19 11:18,07/24/2018,09:06 AM,07/24/2018,09:06 AM,30.454407,-97.732015
5006168,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,07/08/18 09:03,0, , ,11/08/18 17:03,19/02/19 11:18,08/07/2018,09:03 AM,08/07/2018,09:03 AM,30.45072892,-97.61905712
5006180,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN KCC961 - Pct # 5,25/09/18 09:47,0,MCNEIL RD,78681,25/09/18 23:47,19/02/19 11:18,09/25/2018,09:47 AM,09/25/2018,09:47 AM,30.49957415,-97.68472451
5006195,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,26/09/18 12:52,0, , ,29/09/18 23:52,19/02/19 11:18,09/26/2018,12:52 PM,09/26/2018,12:52 PM,30.43252242,-97.72087185
5006208,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 896KLD - Pct # 5,06/08/18 16:04,0,N SH 45 W,78681,11/08/18 00:04,19/02/19 11:18,08/06/2018,04:04 PM,08/06/2018,04:04 PM,30.47681192,-97.69590228
5006233,101000006,Sidewalks,Complaints,Sidewalk Structural Complaint,Sidewalk Structural Complaint,24/07/18 11:21,0,N IH 35 FR,78681,26/07/18 18:21,19/02/19 11:18,07/24/2018,11:21 AM,07/24/2018,11:21 AM,30.566235,-97.697692
5006262,101000173,Property,Private Property,Residential Conditions Complaint Tenant,Residential Conditions Complaint Tenant,05/08/18 11:00,0,RM 1431,78681,07/08/18 03:00,19/02/19 11:18,08/05/2018,11:00 AM,08/05/2018,11:00 AM,30.55614189,-97.71792171
5006263,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,24/07/18 12:10,0,CR 112,78665,26/07/18 20:10,19/02/19 11:18,07/24/2018,12:10 PM,07/24/2018,12:10 PM,30.55653,-97.637913
5006269,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,05/08/18 11:06,0, , ,06/08/18 12:06,19/02/19 11:18,08/05/2018,11:06 AM,08/05/2018,11:06 AM,30.44769393,-97.69592421
5006312,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,07/08/18 17:17,0,OLD AUSTIN ROCK RD,78681,11/08/18 22:17,19/02/19 11:18,08/07/2018,05:17 PM,08/07/2018,05:17 PM,30.49528179,-97.69190209
5006353,101000048,Utilities Related,Sewer & Storm Drain,Sewer Issues,Sewer Issue ,03/09/18 10:10,0,WOODS BLVD,78681,05/09/18 03:10,19/02/19 11:18,09/03/2018,10:10 AM,09/03/2018,10:10 AM,30.52860385,-97.70707332
5006361,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,24/07/18 14:52,0,SERVICE,78664,28/07/18 00:52,19/02/19 11:18,07/24/2018,02:52 PM,07/24/2018,02:52 PM,30.479395,-97.671509
5006380,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,13/11/18 16:09,0,S IH 35 FR,78664,18/11/18 16:09,19/02/19 11:18,11/13/2018,04:09 PM,11/13/2018,04:09 PM,30.50277258,-97.68236253
5006391,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN VYW338 - Pct # 4,23/08/18 16:42,0,WOODS BLVD,78681,24/08/18 16:42,19/02/19 11:18,08/23/2018,04:42 PM,08/23/2018,04:42 PM,30.52734064,-97.70780651
5006414,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 775CXJ - Pct # 2,29/08/18 17:25,0,MISTY OAKS WAY,78665,03/09/18 05:25,19/02/19 11:18,08/29/2018,05:25 PM,08/29/2018,05:25 PM,30.50993428,-97.61796776
5006422,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,30/08/18 09:30,0,SOUTHAMPTON WAY,78664,31/08/18 21:30,19/02/19 11:18,08/30/2018,09:30 AM,08/30/2018,09:30 AM,30.48816244,-97.62226635
5006423,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN PAM5170 - Pct # 4,05/08/18 11:18,0,N IH 35 FR,78681,10/08/18 04:18,19/02/19 11:18,08/05/2018,11:18 AM,08/05/2018,11:18 AM,30.53041433,-97.69262706
5006443,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 900GVR - Pct # 5,19/08/18 09:40,0,CR 172,78681,23/08/18 23:40,19/02/19 11:18,08/19/2018,09:40 AM,08/19/2018,09:40 AM,30.46987433,-97.69213367
5006447,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,01/10/18 17:03,0,N A W GRIMES BLVD,78665,04/10/18 23:03,19/02/19 11:18,10/01/2018,05:03 PM,10/01/2018,05:03 PM,30.56373282,-97.64865764
5006461,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 099APH - Pct # 5,01/08/18 13:57,0,BUCKSKIN DR,78681,02/08/18 14:57,19/02/19 11:18,08/01/2018,01:57 PM,08/01/2018,01:57 PM,30.49639842,-97.68473247
5006512,101000039,Streets,Traffic Signal / Signs,Traffic Signal Timing Issue,Traffic Signal Timing Issue,06/09/18 11:25,0,W MESA PARK DR,78664,07/09/18 11:25,19/02/19 11:18,09/06/2018,11:25 AM,09/06/2018,11:25 AM,30.52131198,-97.66969365
5006530,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,05/08/18 10:41,0,RM 1431,78681,09/08/18 15:41,19/02/19 11:18,08/05/2018,10:41 AM,08/05/2018,10:41 AM,30.56081062,-97.70778553
5006568,101000040,Streets,Traffic Signal / Signs,Traffic Signal Trouble,Traffic Signal Trouble,21/10/18 18:03,0,N RED BUD LN,78665,25/10/18 05:03,19/02/19 11:18,10/21/2018,06:03 PM,10/21/2018,06:03 PM,30.54460845,-97.61551248
5006591,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN WG9923 - Pct # 4,23/07/18 14:05,0,RM 1431,78681,25/07/18 00:05,19/02/19 11:18,07/23/2018,02:05 PM,07/23/2018,02:05 PM,30.552781,-97.706509
5006592,101000173,Property,Private Property,Residential Conditions Complaint Tenant,Residential Conditions Complaint Tenant,23/07/18 14:09,0,MIRASOL DR,78681,24/07/18 02:09,19/02/19 11:18,07/23/2018,02:09 PM,07/23/2018,02:09 PM,30.536077,-97.717205
5006597,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: CA 4T0D756 - Pct # 5,30/07/18 18:11,0,CUSHING DR,78664,04/08/18 18:11,19/02/19 11:18,07/30/2018,06:11 PM,07/30/2018,06:11 PM,30.50135,-97.675316
5006667,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish,21/08/18 10:38,0,CREEK BEND CIR,78681,22/08/18 23:38,19/02/19 11:18,08/21/2018,10:38 AM,08/21/2018,10:38 AM,30.5272703,-97.71723835
5006742,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,16/07/18 17:14,0, , ,17/07/18 05:14,19/02/19 11:18,07/16/2018,05:14 PM,07/16/2018,05:14 PM,30.44823,-97.706144
5006755,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,17/07/18 07:33,0,APOLLO CIR,78664,22/07/18 02:33,19/02/19 11:18,07/17/2018,07:33 AM,07/17/2018,07:33 AM,30.537547,-97.655765
5006782,101000040,Streets,Traffic Signal / Signs,Traffic Signal Trouble,Traffic Signal Trouble,17/07/18 09:27,0,STRATFORD DR,78664,17/07/18 11:27,19/02/19 11:18,07/17/2018,09:27 AM,07/17/2018,09:27 AM,30.492028,-97.663051
5006873,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext:    Other,17/07/18 14:50,0,RM 1431,78681,17/07/18 21:50,19/02/19 11:18,07/17/2018,02:50 PM,07/17/2018,02:50 PM,30.556578,-97.719194
5006874,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,17/07/18 14:50,0,N IH 35 FR,78728,18/07/18 21:50,19/02/19 11:18,07/17/2018,02:50 PM,07/17/2018,02:50 PM,30.473218,-97.672167
5006939,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint,17/07/18 19:59,0,CR 172,78681,18/07/18 15:59,19/02/19 11:18,07/17/2018,07:59 PM,07/17/2018,07:59 PM,30.477774,-97.693711
5006953,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,18/07/18 08:33,0,DALEA BLUFF,78665,23/07/18 02:33,19/02/19 11:18,07/18/2018,08:33 AM,07/18/2018,08:33 AM,30.509906,-97.619271
5006967,101000323,Public Safety,Police,Suspicious Activity,Police Suspicious Activity,07/08/18 19:14,0, , ,09/08/18 23:14,19/02/19 11:18,08/07/2018,07:14 PM,08/07/2018,07:14 PM,30.44701404,-97.72467996
5007003,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: IA 622HFO - Pct # 5,24/07/18 17:36,0,BLUE JAY WAY,78681,25/07/18 10:36,19/02/19 11:18,07/24/2018,05:36 PM,07/24/2018,05:36 PM,30.497562,-97.688805
5007004,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish Veg,06/08/18 12:52,0, , ,06/08/18 15:52,19/02/19 11:18,08/06/2018,12:52 PM,08/06/2018,12:52 PM,30.47653742,-97.61608394
5007012,101000172,Property,Private Property,Residential Conditions Complaint HOD Tenant,Residential Conditions Complaint HOD Tenant,07/08/18 10:03,0,W NASH ST,78664,12/08/18 01:03,19/02/19 11:18,08/07/2018,10:03 AM,08/07/2018,10:03 AM,30.50389138,-97.67990605
5007017,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,06/08/18 12:54,0, , ,07/08/18 03:54,19/02/19 11:18,08/06/2018,12:54 PM,08/06/2018,12:54 PM,30.47653409,-97.6166348
5007057,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,26/07/18 11:58,0,SUNDANCE PKWY,78681,29/07/18 06:58,19/02/19 11:18,07/26/2018,11:58 AM,07/26/2018,11:58 AM,30.48145,-97.688602
5007090,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 396HKB - Pct # 3,16/08/18 08:31,0, , ,19/08/18 22:31,19/02/19 11:18,08/16/2018,08:31 AM,08/16/2018,08:31 AM,30.44550669,-97.6689855
5007106,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 049jrg - Pct # 5,02/08/18 15:03,0,CHOWAN WAY,78681,07/08/18 05:03,19/02/19 11:18,08/02/2018,03:03 PM,08/02/2018,03:03 PM,30.48496092,-97.70090704
5007128,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,25/07/18 13:03,0,E BOWMAN RD,78664,26/07/18 05:03,19/02/19 11:18,07/25/2018,01:03 PM,07/25/2018,01:03 PM,30.526125,-97.680577
5007141,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: - Pct # 3,16/08/18 09:27,0, , ,20/08/18 06:27,19/02/19 11:18,08/16/2018,09:27 AM,08/16/2018,09:27 AM,30.44547229,-97.60927148
5007157,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,25/07/18 13:57,0, , ,27/07/18 23:57,19/02/19 11:18,07/25/2018,01:57 PM,07/25/2018,01:57 PM,30.452687,-97.628654
5007158,101000048,Utilities Related,Sewer & Storm Drain,Sewer Issues,Sewer Issue ,02/08/18 15:59,0, , ,06/08/18 11:59,19/02/19 11:18,08/02/2018,03:59 PM,08/02/2018,03:59 PM,30.45437701,-97.72691378
5007162,101000007,Sidewalks,Snow & Ice,Sidewalk Snow & Ice Complaint,Sidewalk Snow & Ice Complaint,13/12/18 16:06,0,LAUREL PATH,78664,17/12/18 21:06,19/02/19 11:18,12/13/2018,04:06 PM,12/13/2018,04:06 PM,30.52922932,-97.65592841
5007178,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,25/07/18 14:28,0,S A W GRIMES BLVD,78664,25/07/18 15:28,19/02/19 11:18,07/25/2018,02:28 PM,07/25/2018,02:28 PM,30.486518,-97.650764
5007188,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,23/07/18 10:05,0,S IH 35 FR,78664,24/07/18 17:05,19/02/19 11:18,07/23/2018,10:05 AM,07/23/2018,10:05 AM,30.471143,-97.67008
5007189,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,23/07/18 10:06,0,S IH 35 FR,78664,24/07/18 14:06,19/02/19 11:18,07/23/2018,10:06 AM,07/23/2018,10:06 AM,30.471029,-97.67008
5007237,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 868cdt - Pct # 5,24/07/18 12:58,0,S MAYS ST,78664,29/07/18 02:58,19/02/19 11:18,07/24/2018,12:58 PM,07/24/2018,12:58 PM,30.506176,-97.67734
5007245,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 297apm - Pct # 5,17/12/18 12:00,0, , ,22/12/18 03:00,19/02/19 11:18,12/17/2018,12:00 PM,12/17/2018,12:00 PM,30.45359209,-97.68693113
5007250,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,23/07/18 14:15,0, , ,26/07/18 09:15,19/02/19 11:18,07/23/2018,02:15 PM,07/23/2018,02:15 PM,30.448501,-97.678439
5007263,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,24/07/18 09:26,0,S WOODWAY DR,78681,25/07/18 14:26,19/02/19 11:18,07/24/2018,09:26 AM,07/24/2018,09:26 AM,30.513264,-97.711821
5007288,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,23/07/18 14:48,0,S IH 35 FR,78664,28/07/18 02:48,19/02/19 11:18,07/23/2018,02:48 PM,07/23/2018,02:48 PM,30.48488,-97.674873
5007293,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish,23/07/18 14:52,0,MCNEIL RD,78681,26/07/18 01:52,19/02/19 11:18,07/23/2018,02:52 PM,07/23/2018,02:52 PM,30.486244,-97.699632
5007297,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish,24/07/18 15:05,0,N IH 35 FR,78681,26/07/18 13:05,19/02/19 11:18,07/24/2018,03:05 PM,07/24/2018,03:05 PM,30.571145,-97.693967
5007310,101000007,Sidewalks,Snow & Ice,Sidewalk Snow & Ice Complaint,Sidewalk Snow,17/12/18 14:22,0, , ,19/12/18 14:22,19/02/19 11:18,12/17/2018,02:22 PM,12/17/2018,02:22 PM,30.47130126,-97.61789449
5007335,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,23/07/18 12:39,0,ALLEY ALY,78664,26/07/18 07:39,19/02/19 11:18,07/23/2018,12:39 PM,07/23/2018,12:39 PM,30.510366,-97.65704
5007358,101000173,Property,Private Property,Residential Conditions Complaint Tenant,Residential Conditions Complaint Tenant,24/07/18 17:48,0,MONICA LN,78664,25/07/18 01:48,19/02/19 11:18,07/24/2018,05:48 PM,07/24/2018,05:48 PM,30.48446,-97.634846
5007397,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext:  InopVeh,29/07/18 08:37,0,LOUIS HENNA BLVD,78664,01/08/18 01:37,19/02/19 11:18,07/29/2018,08:37 AM,07/29/2018,08:37 AM,30.480249,-97.671007
5007419,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,17/12/18 18:57,0,RUBIO AVE,78664,22/12/18 17:57,19/02/19 11:18,12/17/2018,06:57 PM,12/17/2018,06:57 PM,30.50188399,-97.67990575
5007444,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,13/08/18 12:33,0,MIRASOL LOOP,78681,14/08/18 00:33,19/02/19 11:18,08/13/2018,12:33 PM,08/13/2018,12:33 PM,30.53599265,-97.71978265
5007461,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,09/08/18 15:10,0,DELL WAY,78664,12/08/18 11:10,19/02/19 11:18,08/09/2018,03:10 PM,08/09/2018,03:10 PM,30.48658309,-97.67525382
5007492,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish,05/08/18 12:45,0,ROBIN TRL,78681,09/08/18 00:45,19/02/19 11:18,08/05/2018,12:45 PM,08/05/2018,12:45 PM,30.52056735,-97.70807608
5007495,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,05/08/18 12:48,0,N IH 35 FWY,78681,09/08/18 10:48,19/02/19 11:18,08/05/2018,12:48 PM,08/05/2018,12:48 PM,30.56195546,-97.69261014
5007496,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Rubbish Veg,05/08/18 12:50,0,S A W GRIMES BLVD,78664,06/08/18 05:50,19/02/19 11:18,08/05/2018,12:50 PM,08/05/2018,12:50 PM,30.48383322,-97.64870551
5007506,101000048,Utilities Related,Sewer & Storm Drain,Sewer Issues,Sewer Issue ,30/08/18 15:39,0,SERVICE,78681,01/09/18 12:39,19/02/19 11:18,08/30/2018,03:39 PM,08/30/2018,03:39 PM,30.49919405,-97.68422848
5007526,101000381,Animal Related,Animal Control,Animal Complaint - Public Health,Animal Complaint - Public Health,30/07/18 09:24,0,SERVICE,78681,31/07/18 01:24,19/02/19 11:18,07/30/2018,09:24 AM,07/30/2018,09:24 AM,30.571286,-97.694513
5007531,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,24/07/18 11:57,0, , ,28/07/18 09:57,19/02/19 11:18,07/24/2018,11:57 AM,07/24/2018,11:57 AM,30.476052,-97.619185
5007557,101000167,Property,Private Property,Exterior Nuisance Complaint,Ext: Veg,29/07/18 10:27,0,CREEKVIEW DR,78681,31/07/18 01:27,19/02/19 11:18,07/29/2018,10:27 AM,07/29/2018,10:27 AM,30.499361,-97.698891
5007651,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 302CTG - Pct # 4,23/08/18 10:32,0,SERVICE,78628,23/08/18 18:32,19/02/19 11:18,08/23/2018,10:32 AM,08/23/2018,10:32 AM,30.57893193,-97.69474166
5007672,101000173,Property,Private Property,Residential Conditions Complaint Tenant,Residential Conditions Complaint Tenant,01/08/18 10:26,0,E OLD SETTLERS BLVD,78665,04/08/18 14:26,19/02/19 11:18,08/01/2018,10:26 AM,08/01/2018,10:26 AM,30.54802209,-97.63938575
5007739,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: MN 453ehg - Pct # 5,29/07/18 09:27,0,MCNEIL RD,78681,02/08/18 11:27,19/02/19 11:18,07/29/2018,09:27 AM,07/29/2018,09:27 AM,30.483584,-97.700375
5007751,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,01/08/18 09:21,0, , ,03/08/18 20:21,19/02/19 11:18,08/01/2018,09:21 AM,08/01/2018,09:21 AM,30.46781189,-97.68699192
5007758,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,29/07/18 10:03,0,LOUIS HENNA BLVD,78664,29/07/18 23:03,19/02/19 11:18,07/29/2018,10:03 AM,07/29/2018,10:03 AM,30.479059,-97.626294
5007760,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 386ADH  - Pct # 4,01/08/18 09:34,0,N IH 35 FR,78681,05/08/18 18:34,19/02/19 11:18,08/01/2018,09:34 AM,08/01/2018,09:34 AM,30.54961028,-97.69474142
5007777,101000168,Property,Private Property,Residential Conditions Complaint,Residential Conditions Complaint,31/07/18 11:54,0, , ,02/08/18 14:54,19/02/19 11:18,07/31/2018,11:54 AM,07/31/2018,11:54 AM,30.4620201,-97.61407684
5007802,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,14/08/18 18:49,0,NATIVE GARDEN CV,78681,17/08/18 02:49,19/02/19 11:18,08/14/2018,06:49 PM,08/14/2018,06:49 PM,30.54497527,-97.70365229
5007827,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: - Pct # 3,25/09/18 10:21,0,SCHULTZ LN,78664,27/09/18 17:21,19/02/19 11:18,09/25/2018,10:21 AM,09/25/2018,10:21 AM,30.48599272,-97.6307115
5007880,101000380,Public Safety,Graffiti / Clean City,Graffiti complaint / reporting,Graffiti complaint / reporting,30/07/18 14:50,0,TAMRA CT,78681,31/07/18 11:50,19/02/19 11:18,07/30/2018,02:50 PM,07/30/2018,02:50 PM,30.492515,-97.691446
5007902,101000022,Streets,Street Maintenance,Pothole,Streets Pothole Repair,02/08/18 08:39,0,SH 45,78664,05/08/18 21:39,19/02/19 11:18,08/02/2018,08:39 AM,08/02/2018,08:39 AM,30.4790239,-97.62044979
5007928,101000172,Property,Private Property,Residential Conditions Complaint HOD Tenant,Residential Conditions Complaint HOD Tenant,01/08/18 16:44,0,BUFFALO PASS,78681,05/08/18 21:44,19/02/19 11:18,08/01/2018,04:44 PM,08/01/2018,04:44 PM,30.49843521,-97.68543901
5007932,101000093,Vehicles and Commuting,Parking,Parking Violation Complaint,Parking Violation Complaint: - Pct # 3,31/07/18 08:58,0, , ,03/08/18 23:58,19/02/19 11:18,07/31/2018,08:58 AM,07/31/2018,08:58 AM,30.45722999,-97.63597269
5007941,101001068,Animal Related,Animal Control,Animal Complaint - Livability,Animal Complaint - Livability,31/07/18 09:56,0, , ,02/08/18 12:56,19/02/19 11:18,07/31/2018,09:56 AM,07/31/2018,09:56 AM,30.46702371,-97.732037
5007959,101000108,Vehicles and Commuting,Traffic Control,Abandoned Vehicle,Abandoned Vehicle Complaint: MN 321HCE - Pct # 3,13/08/18 10:47,0, , ,14/08/18 08:47,19/02/19 11:18,08/13/2018,10:47 AM,08/13/2018,10:47 AM,30.44364105,-97.62586592
